title,service,service_href,subservices
Consumer,Consumer,https://www2.deloitte.com/us/en/industries/consumer-industry.html?icid=top_consumer-industry,"Automotive: https://www2.deloitte.com/us/en/pages/consumer-business/topics/automotive.html?icid=top_automotive, Consumer Products: https://www2.deloitte.com/us/en/pages/consumer-business/topics/consumer-products.html?icid=top_consumer-products, Retail, Wholesale & Distribution: https://www2.deloitte.com/us/en/pages/consumer-business/topics/retail-wholesale-distribution.html?icid=top_retail-wholesale-distribution, Transportation, Hospitality & Services: https://www2.deloitte.com/us/en/pages/consumer-business/topics/transportation-hospitality-and-services-trends.html?icid=top_transportation-hospitality-and-services-trends"
"Energy, Resources & Industrials","Energy, Resources & Industrials",https://www2.deloitte.com/us/en/industries/energy-resources-industrials.html?icid=top_,"Industrial Products & Construction: https://www2.deloitte.com/us/en/industries/industrials-sector-services.html?icid=top_industrials-sector-services, Power, Utilities & Renewables: https://www2.deloitte.com/us/en/industries/power-utilities-and-renewables-industry-hub.html?icid=top_power-utilities-and-renewables-industry-hub, Energy & Chemicals: https://www2.deloitte.com/us/en/pages/energy-and-resources/topics/energy-chemicals.html?icid=top_, Mining & Metals: https://www2.deloitte.com/us/en/pages/energy-and-resources/articles/mining-and-metals.html?icid=top_mining-and-metals"
Financial Services,Financial Services,https://www2.deloitte.com/us/en/industries/financial-services.html?icid=top_financial-services,"Banking & Capital Markets: https://www2.deloitte.com/us/en/pages/financial-services/topics/banking-capital-markets.html?icid=top_banking-capital-markets, Insurance: https://www2.deloitte.com/us/en/pages/financial-services/topics/insurance.html?icid=top_insurance, Investment Management: https://www2.deloitte.com/us/en/pages/financial-services/topics/investment-management.html?icid=top_investment-management, Real Estate: https://www2.deloitte.com/us/en/pages/real-estate/topics/real-estate.html?icid=top_real-estate"
Government & Public Services,Government & Public Services,https://www2.deloitte.com/us/en/industries/government-public-services.html?icid=top_government-public-services,"Defense, Security & Justice: https://www2.deloitte.com/us/en/pages/public-sector/topics/defense-security-justice.html?icid=top_defense-security-justice, Federal health: https://www2.deloitte.com/us/en/pages/public-sector/topics/federal-health.html?icid=top_federal-health, Civil: https://www2.deloitte.com/us/en/pages/public-sector/topics/civil-government.html?icid=top_civil-government, State & Local: https://www2.deloitte.com/us/en/pages/public-sector/topics/state-government.html?icid=top_state-government, Higher Education: https://www2.deloitte.com/us/en/pages/public-sector/topics/higher-education.html?icid=top_higher-education"
Life Sciences & Health Care,Life Sciences & Health Care,https://www2.deloitte.com/us/en/industries/life-sciences-and-health-care.html?icid=top_life-sciences-and-health-care,"Health Care: https://www2.deloitte.com/us/en/pages/life-sciences-and-health-care/topics/health-care.html?icid=top_health-care, Life Sciences: https://www2.deloitte.com/us/en/pages/life-sciences-and-health-care/topics/life-sciences.html?icid=top_life-sciences"
"Technology, Media & Telecommunications","Technology, Media & Telecommunications",https://www2.deloitte.com/us/en/industries/technology-media-and-telecommunications.html?icid=top_technology-media-and-telecommunications,"Technology: https://www2.deloitte.com/us/en/pages/technology-media-and-telecommunications/topics/technology-industry.html?icid=top_technology-industry, Telecommunications: https://www2.deloitte.com/us/en/pages/technology-media-and-telecommunications/topics/telecom-industry.html?icid=top_telecom-industry, Media & Entertainment: https://www2.deloitte.com/us/en/pages/technology-media-and-telecommunications/topics/telecommunications-media-entertainment.html?icid=top_"
