title,service,service_href,subservices
Tax,Tax,https://www2.deloitte.com/us/en/services/tax.html?icid=top_tax,"Tax Operate: https://www2.deloitte.com/us/en/pages/tax/articles/operations-transformation.html?icid=top_operations-transformation, Tax Legislation: https://www2.deloitte.com/us/en/pages/tax/articles/us-tax-law-changes.html?icid=top_us-tax-law-changes, Tax Technology Consulting: https://www2.deloitte.com/us/en/pages/tax/solutions/tax-technology-consulting.html?icid=top_tax-technology-consulting, Global Employer Services: https://www2.deloitte.com/us/en/pages/tax/solutions/global-employer-services.html?icid=top_global-employer-services, Legal Business Services: https://www2.deloitte.com/us/en/pages/tax/solutions/legal-business-services.html?icid=top_legal-business-services, Tax Services: https://www2.deloitte.com/us/en/pages/tax/solutions/deloitte-tax-services.html?icid=top_deloitte-tax-services"
Consulting,Consulting,https://www2.deloitte.com/us/en/services/consulting.html?icid=top_consulting,"Core Business Operations: https://www2.deloitte.com/us/en/pages/technology/solutions/core-business-operations-consulting-services.html?icid=top_core-business-operations-consulting-services, Customer & Marketing: https://www.deloittedigital.com/us/en.html?icid=top_, Enterprise Technology & Performance: https://www2.deloitte.com/us/en/pages/operations/topics/enterprise-technology-performance.html?icid=top_enterprise-technology-performance, Human Capital: https://www2.deloitte.com/us/en/pages/human-capital/solutions/human-capital.html?icid=top_, Strategy & Analytics: https://www2.deloitte.com/us/en/pages/strategy-operations/topics/strategy-and-analytics-consulting.html?icid=top_strategy-and-analytics-consulting"
Audit & Assurance,Audit & Assurance,https://www2.deloitte.com/us/en/services/audit.html?icid=top_audit,"Audit Innovation: https://www2.deloitte.com/us/en/pages/audit/topics/audit-innovation.html?icid=top_audit-innovation, Accounting Standards: https://www2.deloitte.com/us/en/pages/audit/topics/accounting-standards.html?icid=top_accounting-standards, Accounting Events & Transactions: https://www2.deloitte.com/us/en/pages/audit/topics/accounting-events-business-transactions.html?icid=top_accounting-events-business-transactions"
Deloitte Private,Deloitte Private,https://www2.deloitte.com/us/en/pages/deloitte-private/solutions/deloitte-private-company-services.html?icid=top_deloitte-private-company-services,
M&A and Restructuring,M&A and Restructuring,https://www2.deloitte.com/us/en/services/mergers-acquisitions-restructuring-services.html?icid=top_mergers-acquisitions-restructuring-services,
Risk & Financial Advisory,Risk & Financial Advisory,https://www2.deloitte.com/us/en/services/advisory.html?icid=top_advisory,"Accounting & Internal Controls: https://www2.deloitte.com/us/en/pages/advisory/solutions/accounting-and-internal-controls.html?icid=top_accounting-and-internal-controls, Cyber & Strategic Risk: https://www2.deloitte.com/us/en/pages/risk/solutions/strategic-risk-management.html?icid=top_, Regulatory & Legal: https://www2.deloitte.com/us/en/pages/regulatory/solutions/regulatory-compliance-services.html?icid=top_regulatory-compliance-services, Transactions and M&A: https://www2.deloitte.com/us/en/pages/advisory/solutions/transaction-advisory-services.html?icid=top_transaction-advisory-services"
AI & Analytics,AI & Analytics,https://www2.deloitte.com/us/en/pages/deloitte-analytics/solutions/deloitte-analytics.html?icid=top_deloitte-analytics,
Cloud,Cloud,https://www2.deloitte.com/us/en/pages/consulting/solutions/cloud-consulting-services.html?icid=top_cloud-consulting-services,
"Diversity, Equity & Inclusion","Diversity, Equity & Inclusion",https://www2.deloitte.com/us/en/pages/about-deloitte/solutions/diversity-inclusion-strategy-services.html?icid=top_diversity-inclusion-strategy-services,
